code,discount_amount,description
SHARKGIFT,86% off + 3 months free,86% off 2-year plan plus 3 extra months.
SHARKSECURE,86% off + 3 months free,86% off 2-year plan plus 3 months.
sharkstart,86% off + 3 months free,86% off long-term plans plus extra months.
OFFCN,Up to 86% off,Up to 86% off with extra months.
LONGSAVECN,86% off,86% off long-term plans.
RENEW49_6WR,49% off,49% off renewal with 6 extra months.
MEYERS,86% off + 3 months free,86% off plus 3 months free.
ConnorDawg,86% off,86% off Surfshark plans.
NAC5,85% off,85% off selected plans.
SUAVE,86% off,86% off Surfshark subscription.
mario,86% off,86% off Surfshark VPN plans.
redditspecial,86% off + extra months,Special Reddit offer with extra months.
JCE,86% off,86% off 2-year plan.
destiny,86% off,86% off subscription.
GUAC,86% off,86% off plus extra months.
coin,85% off,85% off Surfshark subscription.
YTDEALCN,86% off,86% off special YouTube deal.
karaandnate,86% off,86% off plus extra months.
EARTHWEB,Up to 89% off,Up to 89% off subscriptions.
BOSS,88% off + 4 months,88% off plus 4 bonus months.
KDEAL,87% off,87% off VPN bundle plans.
TDEAL,86% off,86% off identity protection bundles.
ARK,20% off,20% off subscriptions.
OSS,83% off,83% off long-term deals.
RENEWCN,49% off + 6 months,49% off renewals plus 6 extra months.
DPF,82% off + 1 month,82% off plus 1 free month.
STORY,10% off,10% off subscriptions.
ARK3Y,80% off,80% off 3-year plans.
